slug,title,ingredient
"receitas/Feijoada_da_Veveta","Feijoada","feijão preto"
"receitas/Feijoada_da_Veveta","Feijoada","?"
"receitas/Feijoada_da_Veveta","Feijoada","lombo suíno cortado"
"receitas/Feijoada_da_Veveta","Feijoada","paio"
"receitas/Feijoada_da_Veveta","Feijoada","rabo salgado"
"receitas/Feijoada_da_Veveta","Feijoada","cebola"
"receitas/Feijoada_da_Veveta","Feijoada","banha suína"
"receitas/Feijoada_da_Veveta","Feijoada","alho"
"receitas/Feijoada_da_Veveta","Feijoada","louro"
"receitas/Kafta","Kafta","carne"
"receitas/Kafta","Kafta","salsinha"
"receitas/Kafta","Kafta","hortelã"
"receitas/Kafta","Kafta","cebola"
"receitas/Kafta","Kafta","alho"
"receitas/Kafta","Kafta","pimenta síria"
"receitas/Kafta","Kafta","sal"
"receitas/Kafta","Kafta","azeite"
"receitas/Kafta","Kafta","palitos de churrasco"
"receitas/acarajé-1758398276182","Acarajé","feijão-fradinho"
"receitas/acarajé-1758398276182","Acarajé","cebola"
"receitas/acarajé-1758398276182","Acarajé","sal"
"receitas/acarajé-1758398276182","Acarajé","óleo"
"receitas/acarajé-1758398276182","Acarajé","azeite de dendê"
"receitas/acarajé-1758398276182","Acarajé","vatapá"
"receitas/acarajé-1758398276182","Acarajé","camarão seco"
"receitas/arroz_carreteiro_simples","Arroz carreteiro simples","arroz"
"receitas/arroz_carreteiro_simples","Arroz carreteiro simples","bacon"
"receitas/arroz_carreteiro_simples","Arroz carreteiro simples","tomate"
"receitas/arroz_carreteiro_simples","Arroz carreteiro simples","pimenta calabresa"
"receitas/arroz_carreteiro_simples","Arroz carreteiro simples","sal"
"receitas/arroz_carreteiro_simples","Arroz carreteiro simples","carne seca"
"receitas/arroz_carreteiro_simples","Arroz carreteiro simples","calabresa"
"receitas/arroz_carreteiro_simples","Arroz carreteiro simples","cebola"
"receitas/arroz_carreteiro_simples","Arroz carreteiro simples","salsa"
"receitas/antepasto_de_berinjela","Antepasto de berinjela","berinjela"
"receitas/antepasto_de_berinjela","Antepasto de berinjela","azeite"
"receitas/antepasto_de_berinjela","Antepasto de berinjela","vinagre"
"receitas/antepasto_de_berinjela","Antepasto de berinjela","aceto balsâmico"
"receitas/antepasto_de_berinjela","Antepasto de berinjela","azeitona"
"receitas/antepasto_de_berinjela","Antepasto de berinjela","sal"
"receitas/antepasto_de_berinjela","Antepasto de berinjela","alho"
"receitas/antepasto_de_berinjela","Antepasto de berinjela","pimenta-do-reino"
"receitas/antepasto_de_berinjela","Antepasto de berinjela","chimichurri"
"receitas/antepasto_de_berinjela","Antepasto de berinjela","orégano"
"receitas/batata_frita","Batata Frita","batata-asterix"
"receitas/batata_frita","Batata Frita","sal"
"receitas/batata_frita","Batata Frita","pimenta-do-reino"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","coração de alcatra"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","calabresa"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","cenoura"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","vagem"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","óleo"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","cebola"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","alho"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","molho de tomate"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","água"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","caldo de legumes"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","carne"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","sal"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","pimenta-do-reino"
"receitas/bife_rol_com_calabresa","Bife à Rolê com Calabresa","salada verde arroz branco feijão e farofa para acompanhar"
"receitas/bai_o_de_dois","Baião de dois","carne-seca"
"receitas/bai_o_de_dois","Baião de dois","feijão-fradinho"
"receitas/bai_o_de_dois","Baião de dois","arroz"
