slug,title,ingredient
"receitas/ab_bora_assada_com_alho_e_s_lvia","Abóbora assada com alho e sálvia","Salada de abóbora assada com agrião e lascas de parmesão"
"receitas/ab_bora_assada_com_alho_e_s_lvia","Abóbora assada com alho e sálvia","2 colheres (sopa) de azeite"
"receitas/ab_bora_assada_com_alho_e_s_lvia","Abóbora assada com alho e sálvia","sal e pimenta-do-reino moída na hora a gosto"
"receitas/ab_bora_assada_com_alho_e_s_lvia","Abóbora assada com alho e sálvia","Numa assadeira grande, junte os cubos de abóbora, os dentes de alho descascados e as folhas de sálvia. Regue com o azeite e tempere com sal e pimenta-do-reino moída na hora a gosto. Misture bem para envolver todos os cubos e folhas de sálvia com o azeite."
"receitas/ab_bora_assada_com_alho_e_s_lvia","Abóbora assada com alho e sálvia","Leve ao forno para assar por cerca de 30 minutos, ou até a abóbora ficar dourada e macia por dentro – na metade do tempo, vire os cubos com uma espátula para dourar por igual. Retire do forno e sirva a seguir como acompanhamento de risotos, carnes ou em saladas."
"receitas/ab_bora_grelhada_com_castanha_de_caju_e_pimenta_biquinho","Abóbora grelhada com castanha-de-caju e pimenta biquinho","Salada de abóbora assada com agrião e lascas de parmesão"
"receitas/ab_bora_grelhada_com_castanha_de_caju_e_pimenta_biquinho","Abóbora grelhada com castanha-de-caju e pimenta biquinho","⅓ de xícara (chá) de castanha-de-caju picada grosseiramente"
"receitas/ab_bora_grelhada_com_castanha_de_caju_e_pimenta_biquinho","Abóbora grelhada com castanha-de-caju e pimenta biquinho","pimenta biquinho a gosto"
"receitas/ab_bora_grelhada_com_castanha_de_caju_e_pimenta_biquinho","Abóbora grelhada com castanha-de-caju e pimenta biquinho","azeite a gosto"
"receitas/ab_bora_grelhada_com_castanha_de_caju_e_pimenta_biquinho","Abóbora grelhada com castanha-de-caju e pimenta biquinho","folhas de salsinha a gosto"
"receitas/ab_bora_grelhada_com_castanha_de_caju_e_pimenta_biquinho","Abóbora grelhada com castanha-de-caju e pimenta biquinho","sal e pimenta-do-reino moída na hora a gosto"
"receitas/ab_bora_grelhada_com_castanha_de_caju_e_pimenta_biquinho","Abóbora grelhada com castanha-de-caju e pimenta biquinho","Com uma escovinha para legumes, lave bem a casca da abóbora sob água corrente. Com uma colher, raspe e descarte as sementes. Apoie a parte plana da abóbora na tábua e corte em fatias de 1 cm, formando meias-luas."
"receitas/ab_bora_grelhada_com_castanha_de_caju_e_pimenta_biquinho","Abóbora grelhada com castanha-de-caju e pimenta biquinho","Leve uma bistequeira (ou frigideira antiaderente) ao fogo médio. Quando estiver bem quente, regue com 1 colher (chá) de azeite e coloque quantas fatias de abóbora couberem, uma ao lado da outra. Tempere com sal e pimenta-do-reino e deixe dourar por cerca de 2 minutos de cada lado, até ficar macia e tostada."
"receitas/ab_bora_grelhada_com_castanha_de_caju_e_pimenta_biquinho","Abóbora grelhada com castanha-de-caju e pimenta biquinho","Transfira as fatias douradas para uma uma travessa e repita com o restante, sempre regando a bistequeira com azeite. Sirva a seguir com mais um fio de azeite, as castanhas-de-caju picadas, pimenta biquinho e folhas de salsinha."
"receitas/ab_bora_refogada_com_s_lvia","Abóbora refogada com sálvia","1 kg de abóbora de pescoço"
"receitas/ab_bora_refogada_com_s_lvia","Abóbora refogada com sálvia","2 colheres (sopa) de azeite"
"receitas/ab_bora_refogada_com_s_lvia","Abóbora refogada com sálvia","1 colher (chá) de sal"
"receitas/ab_bora_refogada_com_s_lvia","Abóbora refogada com sálvia","pimenta-do-reino moída na hora a gosto"
"receitas/ab_bora_refogada_com_s_lvia","Abóbora refogada com sálvia","Junte os cubos de abóbora, tempere com o sal e deixe cozinhar, mexendo de vez em quando, por cerca de 10 minutos até a abóbora começar a ficar macia. Tampe a frigideira e deixe a abóbora abafada por 5 minutos, para cozinhar no próprio vapor."
"receitas/ab_bora_refogada_com_s_lvia","Abóbora refogada com sálvia","Retire a tampa e mexa por mais alguns minutos, pressionando com as costas da colher para desmanchar os pedaços de abóbora (se preferir, utilize um amassador de batatas). Desligue o fogo, tempere com pimenta a gosto e sirva a seguir."
"receitas/abacaxi_retr_com_sorvete","Abacaxi retrô com sorvete","⅓ de xícara (chá) de amêndoa laminada torrada"
"receitas/abacaxi_retr_com_sorvete","Abacaxi retrô com sorvete","2 colheres (sopa) de licor de amêndoas (amaretto) (opcional)"
"receitas/abacaxi_retr_com_sorvete","Abacaxi retrô com sorvete","[object Object]"
"receitas/abacaxi_retr_com_sorvete","Abacaxi retrô com sorvete","Retire os cubinhos da geladeira, junte o sorvete de creme e misture. Divida nas duas metades do abacaxi, salpique com as amêndoas laminadas e sirva imediatamente."
"receitas/ab_bora_assada_com_tomilho_na_air_fryer_da_rita_lobo","Abóbora assada com tomilho na Air Fryer da Rita Lobo","Salmão com brócolis na Air Fryer da Rita Lobo"
"receitas/ab_bora_assada_com_tomilho_na_air_fryer_da_rita_lobo","Abóbora assada com tomilho na Air Fryer da Rita Lobo","1 colher (sopa) de azeite"
"receitas/ab_bora_assada_com_tomilho_na_air_fryer_da_rita_lobo","Abóbora assada com tomilho na Air Fryer da Rita Lobo","sal e pimenta-do-reino moída na hora a gosto"
"receitas/ab_bora_assada_com_tomilho_na_air_fryer_da_rita_lobo","Abóbora assada com tomilho na Air Fryer da Rita Lobo","Corte a abóbora em cubos médios de 2 cm (no total, você vai ter cerca de 3½ xícaras [chá] de abóbora). Numa tigela, tempere a abóbora com o azeite, sal e pimenta a gosto. Misture bem com as mãos para envolver todos os pedaços no tempero."
"receitas/abobrinha_agridoce_de_frigideira","Abobrinha agridoce de frigideira","Salada de abobrinha com salsinha e lascas de parmesão"
"receitas/abobrinha_agridoce_de_frigideira","Abobrinha agridoce de frigideira","Salada de abobrinha com castanha-de-caju"
"receitas/abobrinha_agridoce_de_frigideira","Abobrinha agridoce de frigideira","Salada de abobrinha com manjericão"
"receitas/abobrinha_agridoce_de_frigideira","Abobrinha agridoce de frigideira","1 colher (sopa) de mel"
"receitas/abobrinha_agridoce_de_frigideira","Abobrinha agridoce de frigideira","2 colheres (sopa) de vinagre de maçã"
"receitas/abobrinha_agridoce_de_frigideira","Abobrinha agridoce de frigideira","1 colher (sopa) de azeite Andorinha"
"receitas/abobrinha_agridoce_de_frigideira","Abobrinha agridoce de frigideira","5 ramos de salsinha"
"receitas/abobrinha_agridoce_de_frigideira","Abobrinha agridoce de frigideira","sal e pimenta-do-reino moída na hora a gosto"
